R_Eatery_Name,R_Eatery_Old_Addr,R_Eatery_Addr,R_Eatery_Latitude,R_Eatery_Longtitude,R_Eatery_Score,R_Eatery_Views,R_Eatery_Preference,R_Eatery_Reviews,R_Eatery_Bookmarks
해녀3대할망네,제주특별자치도 서귀포시 대정읍 가파리 728,제주특별자치도 서귀포시 대정읍 마라로 79,33.116863,126.265945,0,2653,1,0,3
꾸까카페,제주특별자치도 제주시 건입동 674-10,제주특별자치도 제주시 사라봉7길 30,33.515663,126.539665,5,895,0,1,3
망고봉봉,제주특별자치도 서귀포시 성산읍 성산리 149-2,제주특별자치도 서귀포시 성산읍 일출로 263,33.461346,126.93382,3,1085,0,1,12
느영나영감귤창고카페,제주특별자치도 서귀포시 안덕면 서광리 66-6,,33.28862,126.33011,0,344,0,0,3
풍미독서,제주 제주시 구좌읍 세화리 793,제주 제주시 구좌읍 세화합전2길 7,33.513794,126.8591,0,899,0,0,5
모리노코에,제주특별자치도 제주시 이도2동 2042-1,제주특별자치도 제주시 구남로2길 30,33.487057,126.53442,0,1136,0,0,4
곽지박사장&김사장네,제주특별자치도 제주시 애월읍 곽지리 2068,제주특별자치도 제주시 애월읍 일주서로 5990,33.446114,126.30559,5,2850,0,2,17
1950하우스,제주특별자치도 제주시 애월읍 유수암리 1023,제주특별자치도 제주시 애월읍 평화로 2369,33.424908,126.409386,0,1792,0,0,7
제주틈,제주특별자치도 제주시 한림읍 옹포리 887,제주특별자치도 제주시 한림읍 일주서로 5153,33.393314,126.256,3,1101,0,1,1
카페리(CAFERI),제주 제주시 구좌읍 평대2길 39,제주 제주시 구좌읍 평대2길 39,33.533966,126.8397,5,2376,2,2,9
오르다키친,제주시 애월읍 애월해안로 672,제주시 애월읍 애월해안로 672,33.47822,126.36656,5,1681,0,1,10
한담팥빵,제주특별자치도 제주시 연동 251-21,제주특별자치도 제주시 도령로 70 1층,33.4895623,126.4862087,0,5,0,0,0
배롱개,제주특별자치도 제주시 구좌읍 월정리 648,제주특별자치도 제주시 구좌읍 해맞이해안로 434,33.557774,126.794556,0,1362,0,0,3
하효살롱,제주특별자치도 서귀포시 하효동 967-1,제주특별자치도 서귀포시 효돈순환로 217-8,33.256496,126.621994,0,9004,2,0,18
만선바다,제주특별자치도 제주시 연동 260-31,제주특별자치도 제주시 삼무로1길 6,33.490963,126.489334,0,1008,1,0,0
백번가든,제주특별자치도 제주시 애월읍 애월리 1584-4,제주특별자치도 제주시 애월읍 애월로 120,33.464375,126.32004,0,1450,0,0,7
일탈흑돼지,제주특별자치도 서귀포시 성산읍 성산리 362-1,제주특별자치도 서귀포시 성산읍 성산등용로 78,33.46879,126.92917,0,1404,0,0,4
월리월리,제주특별자치도 제주시 구좌읍 월정리 554,제주특별자치도 제주시 구좌읍 월정1길 70-6,33.556915,126.79441,5,1599,0,1,2
순덕이네해산물장터,제주특별자치도 서귀포시 성산읍 온평리 1664,제주특별자치도 서귀포시 성산읍 온평서로 48,33.411972,126.896576,4,2328,1,2,6
굄,제주특별자치도 제주시 애월읍 봉성리 산59-8,,33.36723,126.35711,3,1490,0,1,8
