R_Stay_Name,R_Stay_Old_Addr,R_Stay_Addr,R_Stay_Latitude,R_Stay_Longtitude,R_Stay_Score,R_Stay_Views,R_Stay_Preference,R_Stay_Reviews,R_Stay_Bookmarks
에코힐글램핑,제주특별자치도 제주시 애월읍 광령리 926,제주특별자치도 제주시 애월읍 광령평화8길 22,33.44969,126.440765,0,2335,0,0,1
하얀도화지,제주특별자치도 서귀포시 하예동 54-4,제주특별자치도 서귀포시 하예로44번길 1,33.2452784,126.3892422,0,1351,0,0,0
절물길펜션,제주특별자치도 제주시 봉개동 603,제주특별자치도 제주시 명림로 10-1,33.4914049,126.5949431,0,2051,0,0,2
수필하우스,제주특별자치도 제주시 구좌읍 종달리 820,제주특별자치도 제주시 구좌읍 종달논길 50-1,33.492954,126.899605,0,1943,0,0,1
숨비아일랜드,제주특별자치도 서귀포시 성산읍 신천리 353-16,제주특별자치도 서귀포시 성산읍 신천서로 91,33.3391601,126.8555247,0,2165,0,0,0
안녕프로젝트 게스트하우스,제주특별자치도 제주시 구좌읍 동복리 1418-2,제주특별자치도 제주시 구좌읍 동복로2길 12,33.5520211,126.7124099,0,1807,0,0,1
GUROOMI,제주특별자치도 제주시 조천읍 함덕7길 6-4,,33.543972,126.66144,0,1158,0,0,1
IGH펜션,제주시 한경면 금등리 641번지,제주시 한경면 금등3길 25,33.363907,126.19343,0,2292,0,0,0
푸른콘도,제주특별자치도 제주시 한림읍 귀덕리 2575,제주특별자치도 제주시 한림읍 귀덕6길 146,33.43155,126.29103,4,2402,1,2,1
cafe말/개스트하우스 말,제주특별자치도 서귀포시 월평동 72-2,제주특별자치도 서귀포시 이어도로 450,33.2416538,126.4670387,0,1296,0,0,0
팜밸리리조트,제주특별자치도 서귀포시 강정동 3447-1,제주특별자치도 서귀포시 중산간서로 193,33.2615636,126.49447,0,1865,0,0,1
가름게스트하우스,제주특별자치도 서귀포시 법환동 1330,제주특별자치도 서귀포시 법환하로9번길 10,33.2365318,126.5124066,0,1354,0,0,1
가산토방,제주특별자치도 서귀포시 토평동 3077,제주특별자치도 서귀포시 인정오름로86번길 3,33.287717,126.5776882,0,1876,0,0,1
