R_Spot_Name,R_Spot_Old_Addr,R_Spot_Addr,R_Spot_Latitude,R_Spot_Longtitude,R_Spot_Score,R_Spot_Views,R_Spot_Preference,R_Spot_Reviews,R_Spot_Bookmarks
금붕사,제주특별자치도 제주시 구좌읍 하도리 994,제주특별자치도 제주시 구좌읍 일주동로 3618-1,33.5011847,126.8887876,0,1526,0,0,1
천왕사,제주특별자치도 제주시 1100로 2528-111,제주특별자치도 제주시 1100로 2528-111,33.40763,126.49491,5,14061,2,6,34
신화테마파크,서귀포시 안덕면 신화역사로304번길 98,서귀포시 안덕면 신화역사로304번길 98,33.299404,126.3193,5,34999,7,5,177
제주올레 8코스,제주특별자치도 서귀포시 하예동 532-3,제주특별자치도 서귀포시 예래해안로 256,33.23657,126.38887,5,20134,1,15,100
천제연폭포,제주특별자치도 서귀포시 중문동 2232,제주특별자치도 서귀포시 천제연로 132(중문동),33.25099,126.41689,5,109998,37,91,941
다끄네포구(용담포구),제주특별자치도 제주시 용담3동,제주특별자치도 제주시 용담3동,33.51841,126.500786,5,2443,1,2,4
곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,제주특별자치도 제주시 애월읍 곽지리 1565,33.450752,126.30563,5,4933,0,2,16
우도봉 풍경,제주특별자치도 제주시 우도면 연평리 1,제주특별자치도 제주시 우도면 연평리 1,33.5043,126.95405,5,2903,4,3,32
뒤굽은이오름,제주특별자치도 제주시 구좌읍 송당리 산 36,제주특별자치도 제주시 구좌읍 중산간동로 1989-3,33.46465,126.748936,5,1567,0,1,2
갑자기 히어로즈 벽화길,제주특별자치도 제주시 애월읍 금성리 569,제주특별자치도 제주시 애월읍 금성1길 29-3,33.4468277,126.2995018,0,2995,2,0,12
오림반,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리,33.36067,126.59719,0,834,0,0,0
대평포구,제주특별자치도 서귀포시 안덕면 감산리 98 2-2,제주특별자치도 서귀포시 안덕면 감천로190번길 9-62-2,33.2371,126.36139,5,7572,3,22,36
자구리공원,제주특별자치도 서귀포시 서귀동 70,제주특별자치도 서귀포시 칠십리로 145,33.24342322,126.5694497,5,10473,1,8,37
참살이마을 명도암 농어촌체험마을,봉개동 270-3,제주시 명림로 268-71,33.461636,126.60709,5,3019,0,1,4
플레이케이팝,제주특별자치도 서귀포시 색달동 2864-36,제주특별자치도 서귀포시 중문관광로110번길 15,33.24992,126.41335,5,33998,25,50,96
제주국제공항(정뜨르비행장),제주특별자치도 제주시 용담2동 2002,제주특별자치도 제주시 공항로 2,33.50639,126.49525,0,2752,1,0,6
제주스쿠터여행,제주시 서광로 164,제주시 서광로 164,33.49984,126.51392,5,4727,1,1,18
백제사 템플스테이,제주시 애월읍 광령남6길 54 백제사,제주시 애월읍 광령남6길 54 백제사,33.448807,126.42422,0,3705,3,0,0
현의합장묘역,제주특별자치도 서귀포시 남원읍 수망리 893,제주특별자치도 서귀포시 남원읍 중산간동로 6242-56,33.350883,126.69801,0,848,0,0,0
성산초등학교 서청특별중대 주둔지,제주특별자치도 서귀포시 성산면 성산리 171-9,제주특별자치도 서귀포시 성산면 성산리 171-9,33.462696,126.931915,0,1531,0,0,0
별도연대,제주특별자치도 제주시 화북1동 1537,제주특별자치도 제주시 화북1동 1537,33.526237,126.56813,0,1441,0,0,4
금룡사 템플스테이,제주특별자치도 제주시 구좌읍 김녕로 148-11,제주특별자치도 제주시 구좌읍 김녕로 148-11,33.55384,126.75357,0,3183,1,0,6
서귀포 다이브센터,제주특별자치도 서귀포시 남원읍 하례리 64-11,제주특별자치도 서귀포시 남원읍 하례리 64-11,33.25918,126.63975,0,7719,0,0,64
탐라신화공원,제주특별자치도 제주시 조천읍 선흘리 1818,제주특별자치도 제주시 조천읍 선교로 474,33.462814,126.70884,0,3337,0,0,5
조이다이브,서귀포시 서호동 728,서귀포시 중산간동로 83838,33.26082,126.52128,0,3037,0,0,21
평대리불턱,제주특별자치도 제주시 구좌읍 평대리 515-67,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3,33.532413,126.84636,0,2755,0,0,5
족은노꼬메오름,제주특별자치도 제주시 애월읍 유수암리,제주특별자치도 제주시 애월읍 유수암리,33.409443,126.41184,0,3093,0,0,1
제주곶자왈도립공원,제주특별자치도 서귀포시 대정읍 보성리 산 1,제주특별자치도 서귀포시 대정읍 에듀시티로 178,33.282955,126.27152,5,16392,5,12,105
하논마르,제주특별자치도 서귀포시 서홍동 1003,제주특별자치도 서귀포시 서홍동 1003,33.252937,126.54583,0,2232,0,0,1
제주글램핑 (무한자미향),제주특별자치도 제주시 구좌읍 덕천리 1288-2,제주특별자치도 제주시 구좌읍 중산간동로 1921,33.48201,126.753845,0,2693,0,0,5
낙타트래킹,제주특별자치도 서귀포시 표선면 성읍리 2684,제주특별자치도 서귀포시 표선면 번영로 2564-21,33.40256,126.77849,5,9269,0,3,61
돔베낭길,제주특별자치도 서귀포시 호근동 1619,제주특별자치도 서귀포시 태평로92번길 49,33.239983,126.53188,0,5231,1,0,36
송악카트체험장,제주특별자치도 서귀포시 대정읍 상모리 139,제주특별자치도 서귀포시 대정읍 송악관광로 404,33.20824,126.28927,0,5787,0,0,48
