Nature_ID,Nature_Type,Nature_Name,Nature_Addr,Nature_Longtitude,Nature_Latitude
111,오름,이달오름,제주특별자치도 제주시 애월읍 광령리 산 183-6,126.5025774,33.37128494
112,오름,가문이오름,제주특별자치도 서귀포시 표선면 가시리 산 158-2,126.6889012,33.40312372
113,오름,거린족은오름,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,126.6462865,33.35906442
114,오름,물영아리오름습지,제주특별자치도 서귀포시 남원읍 수망리 산 188,126.6926415,33.36795563
115,오름,장자오름,제주특별자치도 서귀포시 표선면 성읍리 2834-2,126.7738908,33.39270925
116,오름,새끼오름,제주특별자치도 서귀포시 표선면 성읍리 3196,126.743683,33.39745035
117,오름,걸리오름,제주특별자치도 서귀포시 성산읍 신풍리 1595,126.8136411,33.37325709
118,오름,모구리오름,제주특별자치도 서귀포시 성산읍 난산리 2960-1,126.8277254,33.40787854
119,오름,통오름,제주특별자치도 서귀포시 성산읍 난산리 2007-2,126.85392,33.39853408
120,오름,유건에오름,제주특별자치도 서귀포시 성산읍 난산리 2284,126.8456969,33.41758956
121,오름,방일이오름,제주특별자치도 제주시 노형동 2511-6,126.470892,33.48422927
122,오름,바굼지오름,제주특별자치도 제주시 애월읍 하귀1리 197-10,126.4124394,33.48404874
123,오름,동물오름,제주특별자치도 제주시 애월읍 구엄리 61-1,126.3879238,33.47853752
124,오름,검은들먹오름,제주특별자치도 제주시 애월읍 광령리 1576-1,126.4430257,33.47290586
125,오름,안세미오름,제주특별자치도 제주시 봉개동 산 2,126.6062774,33.46796711
126,오름,밧세미오름,제주특별자치도 제주시 봉개동 산 3,126.6024871,33.46575167
127,오름,바농오름,제주특별자치도 제주시 조천읍 교래리 산 108,126.6528988,33.4544789
128,오름,부대오름,제주특별자치도 제주시 조천읍 선흘리 산 103-1,126.7095924,33.44736027
129,오름,대천이오름,제주특별자치도 제주시 조천읍 대흘리 산 38-7,126.681398,33.45320845
130,오름,아끈다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 2586-11,126.8298097,33.47736039
131,오름,안돌오름,제주특별자치도 제주시 구좌읍 송당리 산 65-2,126.7522273,33.46241953
132,오름,밧돌오름,제주특별자치도 제주시 구좌읍 송당리 1801,126.7604841,33.46418064
133,오름,비치미오름,제주특별자치도 제주시 구좌읍 송당리 2676,126.7623073,33.43157996
134,오름,체오름,제주특별자치도 제주시 구좌읍 덕천리 산 2,126.7484445,33.4653081
135,오름,궁대오름,제주특별자치도 서귀포시 성산읍 수산리 4711-8,126.8229664,33.43558252
136,오름,남거니오름,제주특별자치도 서귀포시 성산읍 수산리 3937-1,126.8401203,33.43951568
137,오름,나시리오름,제주특별자치도 서귀포시 성산읍 난산리 2848,126.8294007,33.4202018
138,오름,동알오름,제주특별자치도 서귀포시 대정읍 상모리 116,126.2877215,33.21022071
139,오름,보름이오름,제주특별자치도 서귀포시 대정읍 무릉리 4005-2,126.190181,33.26998763
140,오름,밝은오름,제주특별자치도 서귀포시 안덕면 동광리 1002,126.3399837,33.30442871
141,오름,북오름,제주특별자치도 서귀포시 안덕면 동광리 1546,126.3291929,33.30864578
142,오름,개오름,제주특별자치도 서귀포시 안덕면 상천리 741,126.3681711,33.32010934
143,오름,어오름,제주특별자치도 서귀포시 안덕면 상천리 산 24,126.4010719,33.32500679
144,오름,법정이오름,제주특별자치도 서귀포시 하원동 산 1-1,126.4762256,33.33313569
145,오름,알오름,제주특별자치도 서귀포시 표선면 토산리 716,126.7765017,33.33155037
146,오름,도청오름,제주특별자치도 서귀포시 표선면 표선리 산 3,126.8139648,33.31684538
147,오름,정월오름,제주특별자치도 제주시 한림읍 월령리 1221,126.2373467,33.36729477
148,오름,갯거리오름,제주특별자치도 제주시 한림읍 동명리 66,126.2903067,33.38092157
